assembly_id,component_id,demand_qty,gross_qty_required,net_qty_required,unit_price,contract_discount,discounted_unit_price
ASM0001,CMP00016,10,50.2656,50.2656,43.8932,0.0,43.8932
ASM0001,CMP00045,10,33.7602,33.7602,33.15,0.0,33.15
ASM0001,CMP00060,10,80.0,80.0,28.73,0.0,28.73
ASM0001,CMP00064,10,80.0,80.0,30.77,0.0,30.77
ASM0001,MAT00007,10,33.0,33.0,12.92,0.07,12.0156
ASM0001,MAT00022,10,34.884,34.884,5.61,0.0,5.61
ASM0001,MAT00047,10,41.4283,41.4283,37.04,0.0,37.04
ASM0001,MAT00055,10,21.42,21.42,160.75,0.0,160.75
ASM0001,MAT00058,10,26.677,26.677,4.58,0.0,4.58
ASM0001,MAT00062,10,80.0,80.0,8.63,0.0,8.63
ASM0001,MAT00066,10,80.0,80.0,21.25,0.05,20.1875
ASM0001,PRT00013,10,31.0702,5.0702,6.6,0.0,6.6
ASM0001,PRT00032,10,20.1055,20.1055,22.13,0.09,20.1383
ASM0001,PRT00043,10,14.3734,9.3734,15.22,0.12,13.3936
ASM0001,RAW00030,10,22.9786,22.9786,30.72,0.0,30.72
ASM0002,CMP00001,20,41.612,0.0,76.0,0.0,76.0
ASM0002,CMP00016,20,27.25,27.25,47.71,0.0,47.71
ASM0002,CMP00020,20,51.3212,0.0,26.7812,0.0,26.7812
ASM0002,CMP00034,20,48.614,0.0,58.71,0.0,58.71
ASM0002,CMP00045,20,97.3787,97.3787,30.498,0.0,30.498
ASM0002,CMP00056,20,58.4272,0.0,54.4824,0.0,54.4824
ASM0002,MAT00011,20,73.4,73.4,11.6104,0.0,11.6104
ASM0002,MAT00033,20,128.5688,124.5688,45.8252,0.0,45.8252
ASM0002,PRT00006,20,50.0448,33.0448,89.8196,0.06,84.4304
ASM0002,PRT00017,20,63.036,63.036,50.3056,0.06,47.2873
ASM0002,PRT00024,20,162.6146,162.6146,5.5384,0.0,5.5384
ASM0002,PRT00057,20,45.0048,0.0,156.9,0.05,149.055
ASM0002,PRT00061,20,120.0,120.0,40.08,0.0,40.08
ASM0002,PRT00065,20,120.0,120.0,97.33,0.0,97.33
ASM0002,RAW00026,20,67.798,67.798,25.852,0.0,25.852
ASM0002,RAW00048,20,65.076,56.076,258.5936,0.0,258.5936
ASM0002,RAW00052,20,92.7554,87.7554,9.3656,0.0,9.3656
ASM0002,RAW00059,20,120.0,120.0,48.7,0.0,48.7
ASM0002,RAW00063,20,120.0,120.0,24.46,0.04,23.4816
ASM0003,CMP00001,10,15.251,0.0,76.0,0.0,76.0
ASM0003,CMP00016,10,28.1775,28.1775,47.71,0.0,47.71
ASM0003,CMP00020,10,25.0127,0.0,29.11,0.0,29.11
ASM0003,CMP00023,10,34.917,0.0,29.01,0.07,26.9793
ASM0003,CMP00027,10,56.8226,56.8226,116.6468,0.0,116.6468
ASM0003,CMP00034,10,50.2687,0.0,54.0132,0.0,54.0132
ASM0003,CMP00045,10,47.4599,47.4599,33.15,0.0,33.15
ASM0003,CMP00056,10,28.4759,0.0,59.22,0.0,59.22
ASM0003,MAT00011,10,38.8575,38.8575,12.62,0.0,12.62
ASM0003,MAT00033,10,76.412,72.412,45.8252,0.0,45.8252
ASM0003,MAT00044,10,35.424,13.424,67.45,0.0,67.45
ASM0003,PRT00006,10,51.7482,34.7482,89.8196,0.06,84.4304
ASM0003,PRT00013,10,27.4316,1.4316,6.6,0.0,6.6
ASM0003,PRT00017,10,39.9,39.9,54.68,0.06,51.3992
ASM0003,PRT00024,10,41.1747,41.1747,6.02,0.0,6.02
ASM0003,PRT00043,10,79.0212,74.0212,14.0024,0.12,12.3221
ASM0003,PRT00054,10,19.11,0.0,132.17,0.08,121.5964
ASM0003,PRT00057,10,21.9342,0.0,156.9,0.05,149.055
ASM0003,RAW00026,10,70.1056,70.1056,25.852,0.0,25.852
ASM0003,RAW00030,10,60.1575,60.1575,28.2624,0.0,28.2624
ASM0003,RAW00052,10,95.9125,90.9125,9.3656,0.0,9.3656
ASM0004,CMP00016,5,40.7904,40.7904,47.71,0.0,47.71
ASM0004,CMP00023,5,11.9175,0.0,29.01,0.07,26.9793
ASM0004,CMP00045,5,14.103,14.103,33.15,0.0,33.15
ASM0004,CMP00049,5,19.15,19.15,24.97,0.0,24.97
ASM0004,MAT00047,5,6.6539,6.6539,37.04,0.0,37.04
ASM0004,PRT00002,5,7.56,0.0,82.12,0.07,76.3716
ASM0004,PRT00013,5,12.9792,0.0,6.6,0.0,6.6
ASM0004,PRT00017,5,11.55,11.55,54.68,0.06,51.3992
ASM0004,PRT00024,5,18.65,18.65,6.02,0.0,6.02
ASM0004,PRT00032,5,8.3988,8.3988,22.13,0.09,20.1383
ASM0004,PRT00043,5,6.0043,1.0043,15.22,0.12,13.3936
ASM0004,RAW00030,5,9.599,9.599,30.72,0.0,30.72
ASM0005,CMP00012,10,17.0,0.0,167.69,0.05,159.3055
ASM0005,MAT00018,10,12.4,12.4,18.3,0.0,18.3
ASM0005,MAT00036,10,33.1328,0.0,29.82,0.0,29.82
ASM0005,MAT00058,10,43.2118,43.2118,4.58,0.0,4.58
ASM0005,PRT00002,10,42.3747,0.0,82.12,0.07,76.3716
ASM0005,PRT00039,10,22.725,22.725,43.85,0.0,43.85
ASM0005,RAW00026,10,10.605,10.605,28.1,0.0,28.1
ASM0006,CMP00016,5,8.875,8.875,47.71,0.0,47.71
ASM0006,CMP00027,5,17.545,17.545,126.79,0.0,126.79
ASM0006,CMP00034,5,15.833,0.0,58.71,0.0,58.71
ASM0006,MAT00003,5,6.6201,0.0,47.97,0.0,47.97
ASM0006,MAT00011,5,11.998,11.998,12.62,0.0,12.62
ASM0006,MAT00022,5,14.586,14.586,5.61,0.0,5.61
ASM0006,MAT00033,5,42.5864,38.5864,49.81,0.0,49.81
ASM0006,MAT00040,5,19.982,0.0,18.64,0.09,16.9624
ASM0006,MAT00044,5,10.9378,0.0,67.45,0.0,67.45
ASM0006,MAT00047,5,14.0175,14.0175,37.04,0.0,37.04
ASM0006,MAT00055,5,8.364,8.364,160.75,0.0,160.75
ASM0006,PRT00006,5,29.8835,12.8835,97.63,0.06,91.7722
ASM0006,PRT00013,5,23.9694,0.0,6.6,0.0,6.6
ASM0006,PRT00024,5,13.413,13.413,6.02,0.0,6.02
ASM0006,PRT00043,5,24.3992,19.3992,15.22,0.12,13.3936
ASM0006,PRT00050,5,9.7725,9.7725,32.94,0.0,32.94
ASM0006,RAW00008,5,15.1222,15.1222,26.94,0.0,26.94
ASM0006,RAW00026,5,22.081,22.081,28.1,0.0,28.1
ASM0006,RAW00030,5,18.5747,18.5747,30.72,0.0,30.72
ASM0006,RAW00052,5,30.2093,25.2093,10.18,0.0,10.18
ASM0007,CMP00016,15,80.2725,80.2725,43.8932,0.0,43.8932
ASM0007,CMP00023,15,51.207,0.0,26.6892,0.07,24.821
ASM0007,CMP00027,15,73.515,73.515,116.6468,0.0,116.6468
ASM0007,CMP00045,15,53.914,53.914,30.498,0.0,30.498
ASM0007,MAT00003,15,58.65,49.65,44.1324,0.0,44.1324
ASM0007,MAT00011,15,50.2725,50.2725,11.6104,0.0,11.6104
ASM0007,MAT00025,15,59.019,53.019,136.3256,0.1,122.693
ASM0007,MAT00036,15,31.1455,0.0,29.82,0.0,29.82
ASM0007,MAT00044,15,45.8303,23.8303,67.45,0.0,67.45
ASM0007,MAT00047,15,25.437,25.437,37.04,0.0,37.04
ASM0007,MAT00058,15,40.62,40.62,4.58,0.0,4.58
ASM0007,PRT00002,15,25.1631,0.0,82.12,0.07,76.3716
ASM0007,PRT00013,15,85.108,59.108,6.072,0.0,6.072
ASM0007,PRT00032,15,85.1853,85.1853,20.3596,0.09,18.5272
ASM0007,PRT00043,15,125.1885,120.1885,14.0024,0.12,12.3221
ASM0007,PRT00046,15,42.1785,42.1785,12.95,0.0,12.95
ASM0007,RAW00030,15,114.5256,114.5256,28.2624,0.0,28.2624
ASM0007,RAW00048,15,51.45,42.45,258.5936,0.0,258.5936
ASM0008,CMP00027,25,160.4715,160.4715,116.6468,0.0,116.6468
ASM0008,MAT00003,25,52.5,43.5,44.1324,0.0,44.1324
ASM0008,MAT00011,25,109.7368,109.7368,11.6104,0.0,11.6104
ASM0008,MAT00022,25,75.5,75.5,5.1612,0.0,5.1612
ASM0008,MAT00044,25,100.0401,78.0401,62.054,0.0,62.054
ASM0008,PRT00010,25,65.6625,0.0,27.6092,0.06,25.9526
ASM0008,PRT00013,25,160.089,134.089,6.072,0.0,6.072
ASM0008,PRT00043,25,223.1622,218.1622,12.937,0.12,11.3846
ASM0008,RAW00030,25,169.8895,169.8895,28.2624,0.0,28.2624
ASM0009,CMP00016,25,50.1844,50.1844,43.8932,0.0,43.8932
ASM0009,CMP00034,25,89.5289,0.0,54.0132,0.0,54.0132
ASM0009,MAT00033,25,196.4655,192.4655,45.8252,0.0,45.8252
ASM0009,MAT00036,25,90.5625,0.0,27.4344,0.0,27.4344
ASM0009,PRT00006,25,92.1639,75.1639,89.8196,0.06,84.4304
ASM0009,PRT00021,25,41.475,0.0,513.79,0.08,472.6868
ASM0009,PRT00032,25,60.25,60.25,20.3596,0.09,18.5272
ASM0009,RAW00026,25,124.8587,124.8587,25.852,0.0,25.852
ASM0009,RAW00052,25,170.8211,165.8211,9.3656,0.0,9.3656
ASM0010,CMP00031,10,26.52,0.0,41.0,0.0,41.0
ASM0010,MAT00036,10,33.909,0.0,29.82,0.0,29.82
ASM0010,MAT00058,10,44.2241,44.2241,4.58,0.0,4.58
ASM0010,PRT00002,10,27.3958,0.0,82.12,0.07,76.3716
ASM0010,PRT00010,10,38.279,0.0,30.01,0.06,28.2094
ASM0010,RAW00004,10,39.037,35.037,30.52,0.07,28.3836
ASM0010,RAW00048,10,19.493,10.493,281.08,0.0,281.08
ASM0011,CMP00009,20,65.302,65.302,28.6396,0.0,28.6396
ASM0011,CMP00016,20,104.72,104.72,43.8932,0.0,43.8932
ASM0011,CMP00020,20,77.0,0.0,26.7812,0.0,26.7812
ASM0011,CMP00045,20,116.0298,116.0298,30.498,0.0,30.498
ASM0011,MAT00047,20,33.184,33.184,37.04,0.0,37.04
ASM0011,PRT00013,20,64.7295,38.7295,6.072,0.0,6.072
ASM0011,PRT00028,20,38.43,0.0,69.17,0.0,69.17
ASM0011,PRT00032,20,41.8864,41.8864,22.13,0.09,20.1383
ASM0011,PRT00043,20,29.9445,24.9445,15.22,0.12,13.3936
ASM0011,PRT00057,20,43.86,0.0,156.9,0.05,149.055
ASM0011,RAW00030,20,47.872,47.872,30.72,0.0,30.72
ASM0011,RAW00048,20,58.092,49.092,258.5936,0.0,258.5936
ASM0012,CMP00027,10,57.7013,57.7013,116.6468,0.0,116.6468
ASM0012,CMP00053,10,35.7,35.7,34.46,0.0,34.46
ASM0012,MAT00003,10,19.089,10.089,47.97,0.0,47.97
ASM0012,MAT00011,10,39.4584,39.4584,12.62,0.0,12.62
ASM0012,MAT00033,10,53.4,49.4,45.8252,0.0,45.8252
ASM0012,MAT00036,10,33.3906,0.0,29.82,0.0,29.82
ASM0012,MAT00044,10,35.9718,13.9718,67.45,0.0,67.45
ASM0012,MAT00047,10,19.594,19.594,37.04,0.0,37.04
ASM0012,MAT00058,10,43.548,43.548,4.58,0.0,4.58
ASM0012,PRT00002,10,26.977,0.0,82.12,0.07,76.3716
ASM0012,PRT00013,10,72.5483,46.5483,6.072,0.0,6.072
ASM0012,PRT00017,10,10.914,10.914,54.68,0.06,51.3992
ASM0012,PRT00043,10,80.2432,75.2432,14.0024,0.12,12.3221
ASM0012,PRT00050,10,28.179,28.179,32.94,0.0,32.94
ASM0012,RAW00008,10,43.605,43.605,26.94,0.0,26.94
ASM0012,RAW00030,10,61.0878,61.0878,28.2624,0.0,28.2624
